MEDIDAS#es,MEDIDAS_CODE,TIME_PERIOD#es,TIME_PERIOD_CODE,TERRITORIO#es,TERRITORIO_CODE,SEXO#es,SEXO_CODE,OBS_VALUE,CONFIDENCIALIDAD_OBSERVACION#es,NOTAS_OBSERVACION#es,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION_CODE
Población. Tasa de variación anual,POBLACION_TVA,2013,2013,Lanzarote,ES708,Mujeres,F,0.22,,,,
Población. Variación anual,POBLACION_VA,2013,2013,Lanzarote,ES708,Mujeres,F,156,,,,
Población,POBLACION,2014,2014,Lanzarote,ES708,Mujeres,F,69847,,,,
Población. Proporción,POBLACION_PROPORCION,2014,2014,Lanzarote,ES708,Mujeres,F,6.6,,,,
Población. Tasa de variación anual,POBLACION_TVA,2014,2014,Lanzarote,ES708,Mujeres,F,0.2,,,,
Población. Variación anual,POBLACION_VA,2014,2014,Lanzarote,ES708,Mujeres,F,140,,,,
Población,POBLACION,2015,2015,Lanzarote,ES708,Mujeres,F,70510,,,,
Población. Proporción,POBLACION_PROPORCION,2015,2015,Lanzarote,ES708,Mujeres,F,6.67,,,,
Población. Tasa de variación anual,POBLACION_TVA,2015,2015,Lanzarote,ES708,Mujeres,F,0.95,,,,
Población. Variación anual,POBLACION_VA,2015,2015,Lanzarote,ES708,Mujeres,F,663,,,,
Población,POBLACION,2016,2016,Lanzarote,ES708,Mujeres,F,71478,,,,
Población. Proporción,POBLACION_PROPORCION,2016,2016,Lanzarote,ES708,Mujeres,F,6.75,,,,
Población. Tasa de variación anual,POBLACION_TVA,2016,2016,Lanzarote,ES708,Mujeres,F,1.37,,,,
Población. Variación anual,POBLACION_VA,2016,2016,Lanzarote,ES708,Mujeres,F,968,,,,
Población,POBLACION,2017,2017,Lanzarote,ES708,Mujeres,F,72536,,,,
Población. Proporción,POBLACION_PROPORCION,2017,2017,Lanzarote,ES708,Mujeres,F,6.82,,,,
Población. Tasa de variación anual,POBLACION_TVA,2017,2017,Lanzarote,ES708,Mujeres,F,1.48,,,,
Población. Variación anual,POBLACION_VA,2017,2017,Lanzarote,ES708,Mujeres,F,1058,,,,
Población,POBLACION,2018,2018,Lanzarote,ES708,Mujeres,F,73696,,,,
Población. Proporción,POBLACION_PROPORCION,2018,2018,Lanzarote,ES708,Mujeres,F,6.86,,,,
Población. Tasa de variación anual,POBLACION_TVA,2018,2018,Lanzarote,ES708,Mujeres,F,1.6,,,,
Población. Variación anual,POBLACION_VA,2018,2018,Lanzarote,ES708,Mujeres,F,1160,,,,
Población,POBLACION,2019,2019,Lanzarote,ES708,Mujeres,F,75261,,,,
Población. Proporción,POBLACION_PROPORCION,2019,2019,Lanzarote,ES708,Mujeres,F,6.92,,,,
Población. Tasa de variación anual,POBLACION_TVA,2019,2019,Lanzarote,ES708,Mujeres,F,2.12,,,,
Población. Variación anual,POBLACION_VA,2019,2019,Lanzarote,ES708,Mujeres,F,1565,,,,
Población,POBLACION,2020,2020,Lanzarote,ES708,Mujeres,F,76946,,,,
Población. Proporción,POBLACION_PROPORCION,2020,2020,Lanzarote,ES708,Mujeres,F,7,,,,
Población. Tasa de variación anual,POBLACION_TVA,2020,2020,Lanzarote,ES708,Mujeres,F,2.24,,,,
Población. Variación anual,POBLACION_VA,2020,2020,Lanzarote,ES708,Mujeres,F,1685,,,,
Población,POBLACION,2021,2021,Lanzarote,ES708,Mujeres,F,77170,,,,
Población. Proporción,POBLACION_PROPORCION,2021,2021,Lanzarote,ES708,Mujeres,F,7.02,,,,
Población. Tasa de variación anual,POBLACION_TVA,2021,2021,Lanzarote,ES708,Mujeres,F,0.29,,,,
Población. Variación anual,POBLACION_VA,2021,2021,Lanzarote,ES708,Mujeres,F,224,,,,
Población,POBLACION,2022,2022,Lanzarote,ES708,Mujeres,F,77371,,,,
Población. Proporción,POBLACION_PROPORCION,2022,2022,Lanzarote,ES708,Mujeres,F,7.02,,,,
Población. Tasa de variación anual,POBLACION_TVA,2022,2022,Lanzarote,ES708,Mujeres,F,0.26,,,,
Población. Variación anual,POBLACION_VA,2022,2022,Lanzarote,ES708,Mujeres,F,201,,,,
Población,POBLACION,2023,2023,Lanzarote,ES708,Mujeres,F,79013,,,,
Población. Proporción,POBLACION_PROPORCION,2023,2023,Lanzarote,ES708,Mujeres,F,7.08,,,,
Población. Tasa de variación anual,POBLACION_TVA,2023,2023,Lanzarote,ES708,Mujeres,F,2.12,,,,
Población. Variación anual,POBLACION_VA,2023,2023,Lanzarote,ES708,Mujeres,F,1642,,,,
